Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Northgold;2022-03-24;First North;Augment Partners ;5;44;                          -        ;126;11,6;100;Richard Gazal,Andrew Randall,Kimberly Wrixon,Otto Persson (ordforande) via Hylbo Gard,Ej namngivna;;73.,6;Mitch Vanderydt;Otto Persson;11,6;Magnus Minerals,Aurora Exploration,Andrew Randall,Kimberly Wrixon,Richard Gazal;;Mikrobolag;0;-;northgoldab.com;Schjødt,Aqurat,Nordnet Bank 
Rebelle;2022-02-25;First North;Vator ;2;200;                          -        ;626;28;100;Swedbank Robur Ny Teknik,Skandia Fonder,Thoren Tillvaxt,Reti Televisive Italiane,Ej namngivna;;90;Max Schonemann;Hans-Christian Semmler;36,84;Hans-Christian Semmler (ordforande) via HCS Beteiligungsgesellschaft,Swedbank Robur Ny Teknik (via teckningsatagande),Christoffer Martinsen (ledamot) Konigsfeldt via Friheden Invest,Deutsche Balaton Aktiengesellschaft,Robert Frowein (ledamot) via Style Beteiligungs GmbH & Co;;Smabolag;0;-;ir.rebelle.com;Gernandt & Danielsson 
BeammWave;2022-03-11;First North;G&W FK ;3;60;                          -        ;210;15,85;100;Concejo Invest,Arne Grundstrom,Clas Mellgren,P O Andersson,Bengt Walerud;;81.,5;Stefan Svedberg;Fredrik Rosenqvist;32,97;Per-Olof Brandt,Markus Tormanen,Almi,LU Holding,Concejo Invest (via teckningsforbindelser);;Smabolag;0;-;beammwave.com;Delphi 
Var Energi;2022-02-16;Oslo Børs;DNB,J.P Morgan,Morgan Stanley,SpareBank ;2;6807;                          0        ;77239;29,75;0;;;0;Torger Rød;Thorhild Widvey;Uppgift saknas;Eni International,HitecVision via Point Resources Holding;									Eni International,					Point Resources Holding			;Miljardbolag;100;-6,82;varenergi.no;ABG Sundal Collier,BofA Securities,Carnegie,Jefferies,Pareto,Schjødt,BAHR,Latham & Watkins,Linklaters 
Move About Group;2022-02-23;First North;Mangold FK ;5;45;                          -        ;234;9,4;100;Mangold FK,Daniel Johnsson,Aggregate Media,Michael Lindhoff,Reidar Langmo (ledamot) via Rebelijo;;69.,8;Morten von Krogh;Morten Wiese;26,54;Reidar Langmo (ledamot) via Rebelijo,Jarle Frøshaug (senior radgivare) via bolag,Erik Nordenfelt (CTO) via bolag,Bjørn E. A. Hviding via Capta Invest,Mangold FK;;Smabolag;0;-;moveaboutgroup.com;Eversheds Sutherland Advokatbyra,Nordnet Bank 
Purefun Group;2022-02-14;First North;Eminova ;1;57;                          -1        ;250;25;0;Tass,Polynom Investment,Sonny Johansson,Andreas Bergstrom,Ej namngivna;;72;Michael Ahlén;Niklas Wolfhagen;77,03;Michael och Catharina Ahlén,Tass (via teckningsatagande),Polynom Investment (via teckningsatagande),Sonny Johansson (via teckningsatagande),Andreas Bergstrom (via teckningsatagande);									Michael och Catharina Ahlén			;Smabolag;100;8,6;www.purefungroup.com;Delphi 
Smart Valor;2022-02-10;First North;Mangold FK ;4;22;                          -44        ;874;57,5;100;;;0;Oliver Feldmeier;Olga Feldmeier;71,2;Olga Feldmeier,Oliver Feldmeier,Thomas Felber;;Smabolag;0;-35,65;smartvalor.com;Eversheds Sutherland Advokatbyra 
Hubbster;2022-03-02;NGM SME;Stockholm Corp. ;4;20;                          -        ;143;7,8;100;Taptum,Xpecunia Nordic,Peter Hamberg privat och via Hamberg Forvaltning,Magnus Hogstrom,Tigerrace;;65.,9;Gustaf Hesselman;Anna Skarke;38,57;Fredrik & Anna Skarke (Ordforande) via FAAV Invest & Taptum,EPTI (medgrundare),Peter Follin (Head of Expert Services) via Performus,Cassatoria Invest (medgrundare),Corporate Core Pilots (medgrundare);;Smabolag;0;-;hubbster.com;Cirio,Aqurat 
Newbury Pharmaceuticals;2022-02-04;First North;Vastra Hamnen ;1;50;                          -31        ;254;13;100;AZTIQ via Sumar Pharma,ES Aktiehandel,Urus,Karl Karlsson (styrelseordforande), privat och via Alsakali Equity,Polynom Investment;;80;Lars Minor;Karl Karlsson;51,74;Karl Karlsson (styrelseordforande), privat och via Alsakali Equity,AZTIQ via Sumar Pharma,ES Aktiehandel (via teckningsatagande),Urus (via teckningsatagande),Polynom Investment;;Smabolag;0;-3,08;www.newburypharma.com;Lindahl,Aqurat 
Lyckegard;2022-02-21;First North;Sedermera Corporate Finance ;2;32;                          -24        ;92;5,95;100;First Venture Sweden,Delcea Forvaltning,Magnus Wahlquist,Entreprenorinvest Sverige,Almi Invest;;73.,8;Christian Bjarntoft;Anders Holm;27,26;Lars Askling (ledamot) via JLK Fastigheter,Hans Bergengren (ledamot),Entreprenorinvest Sverige,Almi Invest,First Venture Sweden;;Mikrobolag;0;-;lyckegard.com;Nordic Issuing,Markets & Corporate Law,Shark Communication,Nordnet Bank 
Learning to Sleep;2022-02-03;First North;Eminova ;4;11;                          -40        ;61;5,9;100;Jinderman & Partners,Thomas Wiklund (ledamot) via Dendera Venture,Ej namngivna;;28.,8;Micael Gustafsson;Michael Hermansson;19,49;Polynom Investment,Thomas Wiklund via Dendera Venture,Wikow Venture,Micael Gustafsson,Arastoupour & Persson Investment (vari Leif GW Persson ar agare);;Mikrobolag;0;-18,81;www.learningtosleep.se;Aktieinvest,Eversheds Sutherland Advokatbyra 
HODL Spac;2022-01-21;Spotlight;Eminova ;2;30;                          -4        ;40;5;100;Johan Kjell,Vahid Toosi,Peter Sigfrid,Christoffer De Geer,Stefan Rust;;81.,4;Vahid Toosi;Michaela Berglund;45,57;Johan Kjell,Vahid Toosi,Peter Sigfrid direkt och via Alator,Christoffer De Geer,Michaela Berglund direkt och via Small Talk;;Mikrobolag;0;4;hodlspac.se/sv;Bolagsratt Sundsvall 
Viva Wine Group;2021-12-14;First North;ABG Sundal Collier,SEB ;2;1200;                          0        ;4353;49;100;Bergendahl & Son,Capital World Investors,Erik Selin Fastigheter,Svolder;;79.,2;Emil Sallnas;Anders Moberg;67,09;Emil Sallnas (VD) via Late Harvest Wine Holding 1971,Bjorn Wittmark (affarschef) med makan Pamela Wilson via Vin & Vind,John Wistedt (VD Wine Team Global) via Legendum Capital,Bergendahl & Son (via teckningsatagande),Svolder (via teckningsatagande);;Miljardbolag;100;14,39;www.vivagroup.se;Baker McKenzie,White & Case 
MTI Investment;2021-12-21;First North;Mangold FK ;2;22;                          -34        ;72;13,4;100;Handelsbanken Fonder,Mangold FK,Jussi Ax,Wilhelm Risberg,Stiftelsen H&M Foundation;;80.,1;Pontus Engstrom;Trond Randøy;22,62;Trond Randøy (Styrelseordforande) via Sørlandsforskning,Stiftelsen H&M Foundation,ADB Invest,Pontus Engstrom (VD),Handelsbanken Fonder;;Mikrobolag;0;-21,21;www.mti-investment.com;Schjødt 
Norva24;2021-12-09;Nasdaq Stockholm;Carnegie,Citigroup ;2;2313;                          -32        ;6569;36;40;Swedbank Robur,DnB Funds Management,Livforsakringsbolaget Skandia och Skandia Fonder,Carnegie Fonder;;53.,8;Henrik Damgaard;Vidar Meum;3,58;Valedo Partners Fund II,Swedbank Robur Fonder (via teckningsatagande),Invest24,DnB Funds Management (via teckningsatagande),Livforsakringsbolaget Skandia och Skandia Fonder;									Valedo Partners Fund II,					JKT Birkeland Invest,					Isco,					Arild Bødal via AHB Invest			;Miljardbolag;0;-12,78;www.norva24.com/sv;DNB,Danske Bank,SEB,White & Case,Baker McKenzie 
Devyser Diagnostics;2021-12-10;First North;Carnegie ;1;343;                          6        ;1215;80;88;Berenberg,Fjarde AP-Fonden;									Rutger Arnhult via M2 Asset Management			;47.,5;Fredrik Alpsten;Mia Arnhult;37,85;Rutger Arnhult via M2 Asset Management,Swedbank Robur,Fjarde AP-fonden (tidigare agare och via teckningsatagande),Berenberg (agande via teckningsatagande),Anders Hedrum (CTO, en av de tre grundarna);									Ulf Klangby (vVD, ledamot och en av de tre grundarna),					Anders Hedrum (CTO, en av de tre grundarna),					Dan Hauzenberger (anstalld, en av de tre grundarna),					Virginio Marra (VD for Devyser Italia)			;Miljardbolag;100;11,25;www.devyser.com;Hammarskiold,Wigge & Partners 
Spacett;2021-12-27;Spotlight;Partner FK ;1;27;                          1        ;32;5;100;Per Nilsson via Rasunda Advice,Gerhard Dal via Capidal,Luca Di Stefano,Joel Westerstrom,Peter Sigfrid;;74.,1;Marcus Bonsib;Peter Sigfrid;53,13;Per Nilsson via Rasunda Advice,Gerhard Dal via Capidal,Luca Di Stefano,Joel Westerstrom,Peter Sigfrid;;Mikrobolag;0;12;spacett.se;Shark Communication 
W5 Solutions;2021-12-17;First North;Redeye ;2;35;                          4        ;285;25;100;Redeye High Quality Specialplaceringsfond,Mikael Lonn,Jensen Invest,Jonas Rydin (ledamot) via Cajory,Robert Dahlquist (ledamot) via DT2W;;85.,7;Daniel Hopstadius;Anders Lundstrom;28,66;Swedish Defense Group,Jonas Rydin (ledamot) via Cajory Defence,DT2W Invest, majoriteten av detta bolaget ags av Robert Dahlquist (ledamot och vVD),MSE Holding,Redeye High Quality Specialplaceringsfond (via teckningsatagande);;Smabolag;77.86;9,16;w5solutions.com;Torngren Magnell,Lago Kapital,Nordic Issuing 
Titania;2021-12-10;First North;Catella,Danske Bank ;1;472;                          -14        ;1430;20;91;Jacob Karlsson via bolag,Dammskogen Forvaltning,Fjarde AP-Fonden;;79.,6;Einar Janson;Knut Pousette;53,61;Einar Janson via bolag,Nikan Ghahremani via bolag,Jacob Karlsson via bolag,Dammskogen Forvaltning,Fjarde AP-Fonden;									Einar Janson via bolag,					Nikan Ghahremani via bolag			;Miljardbolag;100;20;www.titania.se;Avanza Bank,Vinge,Hammarskiold 
Case Group;2021-12-16;First North;Skills Corp. ;2;25;                          16        ;374;18,8;100;Peter Liljestrand,Carl Bergenstrahle,Stefan Edberg,AB Arvid Svensson,Sandahlsbolagen Sweden AB;									AB Arvid Svensson Invest,					Stefan Edberg,					Sandahlsbolagen Sweden AB			;136;Johan Andrassy;Jürgen Conzen;19,73;Stefan Edberg,AB Arvid Svensson,Sandahlsbolagen i Skillingaryd,Niclas Lidstrom,Johan Andrassy;;Smabolag;0;22,31;www.casefonder.se;Nordic Issuing,Setterwalls 
Momentum Software Group;2021-12-08;First North;SEB ;1;226;                          16        ;1015;61;44;Lannebo Fonder,JosefssonXL,Enter Smabolagsfond,E. Öhman J:or Fonder;;81.,8;Richard Durlow;Paul Ronnberg;70,94;Bas Invest (ags bl.a. av ledamoterna Paul Ronnberg och Robert D Agostino),Richard Durlow,Lannebo Fonder,Bengt Östling via Smorklimpen,JosefssonXL;									Bas Invest (ags bl.a. av ledamoterna Paul Ronnberg och Robert D Agostino),					Bengt Östling via Smorklimpen			;Miljardbolag;100;17,21;group.momentum.se;White & Case,Hammarskiold 
Adtraction Group;2021-12-07;First North;Avanza Bank ;0;158;                          -22        ;705;60;48;RoosGruppen,Bang-Melchior Holding,Concejo,Øivind Brunsell (VD for Adtractions norska dotterbolag) via BRNO;;86;Simon Gustafson;Elin Eriksson;45,82;Simon Gustafson (vd och medgrundare),Markus Bjernvall (Plattformsansvarig, ledamot och medgrundare),Jacob Notlov via LLJ Property,Harald Bang-Melchior via bolag,RoosGruppen;									Jacob Notlov via LLJ Property,					Simon Gustafson (vd och medgrundare),					Markus Bjernvall (Plattformsansvarig, ledamot och medgrundare),					Magnus Hagstrom (anstalld),					Christian Longberg (CTO och medgrundare)			;Smabolag;94.85;12,5;investor.adtraction.com/se;Schjødt 
Paydrive;2021-12-15;NGM SME;Mangold FK ;5;20;                          -14        ;120;17,1;100;Gar-bo Forsakring,NFT Ventures,Mangold,Ålands Ömsesidige Forsakringsbolag,Daniel Hecker;;69.,5;Carl-Johan Thorsell;Ulf Toivonen;29,61;NFT Ventures,Andreas Brostrom,Gjensidige Forsikring,Ålands Ömsesidige Forsakringsbolag,Stalvalvet;;Smabolag;0;-4,64;paydrive.se;Carthiel 
Nivika Fastigheter;2021-12-03;Nasdaq Stockholm;Danske Bank,SEB ;2;1000;                          -15        ;4825;85,5;100;Tredje AP-fonden,Swedbank Robur Fonder,Weland Vardepapper,E. Öhman J:or Fonder;;60;Niclas Bergman;Elisabeth Norman;48,69;Santhe Dahl via Santhe Dahl Invest,Niclas & Viktoria Bergman privat och via Varnanas,Benny Holmgren privat och via Holmgren Group,Planch,Hakan Eriksson via Skandinavkonsult i Stockholm;;Miljardbolag;99.33;12,28;www.nivika.se;Hannes Snellman 
Nordic Asia;2021-12-16;First North;Partner FK ;2;200;                          -12        ;289;8,05;89;Kari Stadigh,Ulf och Bo Eklof Invest,Safe Return Asset Management Nordic for kunders rakning,Pong Invest,Knil;;50;Yining Wang;Michael Thurow;2,88;Kari Stadigh,Cidro Forvaltning,Curitas,Acervo,Ulf och Bo Eklof Invest;;Smabolag;21.07;-13,04;nordicasiagroup.com;Nordnet Bank,Lindahl 
Mestro;2021-12-15;First North;Redeye ;4;40;                          -46        ;169;19;100;SBB i Norden,Beijer Ventures,Adma Forvaltnings,Norrlandspojkarna,Ej namngivna;;80;Gustav Stenbeck;Rikard Östberg;22,81;RP Ventures,AB Foretagsledare Rego,SBB i Norden (tecknar nya aktier samt forvarvar Stronghold Invests innehav),Magnus Astner (CTO),Beijer Ventures;;Smabolag;0;-10,53;mestro.com/sv;Setterwalls,Nordic Issuing,Nordnet Bank 
Klarabo;2021-12-02;Nasdaq Stockholm;ABG Sundal Collier ;2;750;                          5        ;4501;35;100;Clearance Capital,Lansforsakringar,Rutger Arnhult genom M2 Asset Management,ODIN Forvaltning;;72;Andreas Morfiadakis;Lennart Sten;31,34;Spiltan,Rutger Arnhult via M2 Asset Management,Lansforsakringar Fonder,Hakan Sandberg privat och via Pensionskassan SHB Tjanstepensionsforening,Anders Pettersson via bolag;;Miljardbolag;100;40,17;klarabo.se;Danske Bank,Handelsbanken,Lindahl,Baker McKenzie 
ChargePanel;2021-12-09;First North;Eminova ;1;25;                          22        ;96;5,9;100;KG Knutsson,Skandnet Group,Mohanned Al-Nusif,Consularis Venture,Strategic Wisdom Nordic;;70.,7;Jan Berggren;Johan Nordin;56,31;Skandnet Group (vari Peter Persson ager 90%),KG Knutsson,Jan Berggren,Peter Persson,Sarah Lindberg;;Mikrobolag;0;16,95;www.chargepanel.com;
SHT Smart High-Tech;2021-11-18;Spotlight;Foretagsfinansiering Fyrstad AB ;2;22;                          61        ;147;11;100;Stiftelsen Chalmers Tekniska Hogskola,Goran Ofsén,Gerhard Dal,Stefan Henriksson,Philip Lochen;;50;Thien Laubeck;Johan Liu;70,93;Johan Liu via XS Consulting,Futur Pension (Goran Ofsén med flera),Stiftelsen Chalmers Tekniska Hogskola,Gerhard Dal,Stefan Henriksson;;Smabolag;0;48,27;sht-tek.com;Nordic Issuing 
SignUp Software;2021-11-24;First North;Pareto ;1;175;                          29        ;1775;80;100;Creades,Berenberg,Nordea Asset Management;;60;Olof Hedin;Goran Garvner;76,66;Goran och Henrik Garvner via SignForm International,Standout Capital,André Åkerlund och Hans Fajerson via NSU Invest,Olof Hedin via Svallet Invest,Berenberg;;Miljardbolag;100;31,25;www.signupsoftware.com;Setterwalls,Baker McKenzie 
